Term_IRI,UberonNum,Term_label,Parent_term_IRI,Parent_term_label,UberonNumParent,Definition
http://purl.obolibrary.org/obo/UBERON_0035775,0035775,submandibular region,http://purl.obolibrary.org/obo/UBERON_0000475,organism subdivision,0000475,"The region between the mandible and the hyoid bone that contains the submandibular and sublingual glands, suprahyoid muscles, submandibular ganglion, and lingual artery."
http://purl.obolibrary.org/obo/UBERON_0035820,0035820,peritoneal sac,http://purl.obolibrary.org/obo/UBERON_0005906,serous sac,0005906,"A serous sac that is the aggregate of the peritoneum and the peritoneal cavity, located in the abdominal cavity."
http://purl.obolibrary.org/obo/UBERON_0035840,0035840,esophagogastric junction muscularis mucosa,http://purl.obolibrary.org/obo/UBERON_0006676,muscularis mucosa,0006676,"muscularis mucosa from the lowest portion of the esophagus, just proximal to the stomach."
http://purl.obolibrary.org/obo/UBERON_3000180,3000180,foramen acusticum anterius,http://purl.obolibrary.org/obo/UBERON_0005744,bone foramen,0005744,
http://purl.obolibrary.org/obo/UBERON_4200162,4200162,mesomere 4,http://purl.obolibrary.org/obo/UBERON_4200160,mesomere (fin),4200160,
http://purl.obolibrary.org/obo/UBERON_0014782,0014782,allantois of embryonic urinary system,http://purl.obolibrary.org/obo/UBERON_0000481,multi-tissue structure,0000481,
http://purl.obolibrary.org/obo/UBERON_0014858,0014858,crustacean post-larval stage,http://purl.obolibrary.org/obo/UBERON_0000105,life cycle stage,0000105,A crustacean larval stage characterised by the use of abdominal appendages (pleopods) for propulsion.
http://purl.obolibrary.org/obo/UBERON_4100114,4100114,anterior distal condyle of femur,http://purl.obolibrary.org/obo/UBERON_0005055,zone of long bone,0005055,Anatomical projection in the distal region of the femur. [PHENOSCAPE:NI]
http://purl.obolibrary.org/obo/UBERON_4100118,4100118,trunk rib,http://purl.obolibrary.org/obo/UBERON_0002228,rib,0002228,Rib located in the trunk (ribcage) area (i.e. excluding cervical and caudal axial series. [PHENOSCAPE:NI]
http://purl.obolibrary.org/obo/UBERON_0016635,0016635,paragigantocellular nucleus,http://purl.obolibrary.org/obo/UBERON_0007635,nucleus of medulla oblongata,0007635,
http://purl.obolibrary.org/obo/UBERON_0016629,0016629,branch of Y-shaped fibrocartilage skeleton of ventral pouch,http://purl.obolibrary.org/obo/UBERON_0015212,lateral structure,0015212,
http://purl.obolibrary.org/obo/UBERON_0016624,0016624,lunge feeding vibrissa,http://purl.obolibrary.org/obo/UBERON_0011933,vibrissa unit,0011933,A vibrissa on the lower jaw of rorqual whales that is hypothesized to form part of the lung feeding system.
http://purl.obolibrary.org/obo/UBERON_0016621,0016621,lunge feeding organ,http://purl.obolibrary.org/obo/UBERON_0013765,digestive system element,0013765,A fibrous capsule located between the jaws of rorqual whales that contains a gelatinous substance and papillae bearing mechanorecaptors.
http://purl.obolibrary.org/obo/UBERON_0016858,0016858,digit 8,http://purl.obolibrary.org/obo/UBERON_0002544,digit,0002544,A digit that is part of a digit 8 plus metapodial segment.
http://purl.obolibrary.org/obo/UBERON_5103625,5103625,manual digit 5 digitopodial skeleton,http://purl.obolibrary.org/obo/UBERON_5106052,digit 5 digitopodial skeleton,5106052,A subdivision of the skeleton of the autopod consisting of the phalanges of manual digit 5 plus the associated metapodial element.
http://purl.obolibrary.org/obo/UBERON_5112260,5112260,alular digit digitopodial skeleton,http://purl.obolibrary.org/obo/UBERON_5102389,manual digit digitopodial skeleton,5102389,A subdivision of the skeleton of the autopod consisting of the phalanges of alular digit plus the associated metapodial element.
http://purl.obolibrary.org/obo/UBERON_5012137,5012137,pedal digit 7 plus metapodial segment,http://purl.obolibrary.org/obo/UBERON_5001466,pedal digit plus metapodial segment,5001466,A subdivision of the autopod consisting of pedal digit 7 plus the region incorporating a single metapodial element. These segments are typically repeated along the pre-axiom to post-axial axis.
http://purl.obolibrary.org/obo/UBERON_0022317,0022317,olfactory cortex layer 1,http://purl.obolibrary.org/obo/UBERON_0022303,nervous system cell part layer,0022303,"Surface layer of the olfactory cortex that contains dendrites, fiber systems and a small number of neurons. It has been divided into a superficial part and a deep part."
http://purl.obolibrary.org/obo/UBERON_0022278,0022278,nucleus of pudendal nerve,http://purl.obolibrary.org/obo/UBERON_0011777,nucleus of spinal cord,0011777,A nucleus in the ventral part of the anterior horn of the sacral region of the spinal cord that is the origin of the pudendal nerve.
http://purl.obolibrary.org/obo/UBERON_0022316,0022316,primary motor cortex layer 6,http://purl.obolibrary.org/obo/UBERON_0002301,layer of neocortex,0002301,Lamina of primary motor cortex
http://purl.obolibrary.org/obo/UBERON_0024721,0024721,obsolete regional part of outer ear,,,,
http://purl.obolibrary.org/obo/UBERON_0027371,0027371,striosome,http://purl.obolibrary.org/obo/UBERON_0025736,chemoarchitectural part of striatum,0025736,"One of two compartments identified in the neostriatum, particularly the caudate nucleus, on the basis of differential staining for several biochemical markers such as acetylcholinesterase and calbindin. In individual sections, the striosomes appear as small patches of differentially high or low staining activity. In three dimensions, they form a 3D labyrinth extending throughout the caudate nucleus and in the putamen."
http://purl.obolibrary.org/obo/UBERON_0029538,0029538,sacral spinal cord lateral horn,http://purl.obolibrary.org/obo/UBERON_0004676,spinal cord lateral horn,0004676,
http://purl.obolibrary.org/obo/UBERON_0022236,0022236,peduncle of thalamus,http://purl.obolibrary.org/obo/UBERON_0022235,peduncle of diencephalon,0022235,
http://purl.obolibrary.org/obo/UBERON_0022229,0022229,posterior amygdaloid nucleus,http://purl.obolibrary.org/obo/UBERON_0009663,telencephalic nucleus,0009663,
http://purl.obolibrary.org/obo/UBERON_0019295,0019295,caudal intralaminar nuclear group,http://purl.obolibrary.org/obo/UBERON_0015233,nucleus of dorsal thalamus,0015233,
http://purl.obolibrary.org/obo/UBERON_0022346,0022346,dentate gyrus molecular layer middle,http://purl.obolibrary.org/obo/UBERON_0002304,layer of dentate gyrus,0002304,
http://purl.obolibrary.org/obo/UBERON_0022244,0022244,anterior orbital gyrus,http://purl.obolibrary.org/obo/UBERON_0007193,orbital gyrus,0007193,
http://purl.obolibrary.org/obo/UBERON_0020550,0020550,auricular blood vessel,http://purl.obolibrary.org/obo/UBERON_0001981,blood vessel,0001981,A blood vessel that supplies or drains an ear.
http://purl.obolibrary.org/obo/UBERON_0019294,0019294,commissure of telencephalon,http://purl.obolibrary.org/obo/UBERON_0005970,brain commissure,0005970,
http://purl.obolibrary.org/obo/UBERON_0019307,0019307,epithelium of external nose,http://purl.obolibrary.org/obo/UBERON_0019306,nose epithelium,0019306,Epithelial layer that is part of the external part of the nose.
http://purl.obolibrary.org/obo/UBERON_0022350,0022350,visceral serous membrane,http://purl.obolibrary.org/obo/UBERON_0004120,mesoderm-derived structure,0004120,Serous membrane layer that is adjacent to and lines an organ.
http://purl.obolibrary.org/obo/UBERON_4200243,4200243,surangular pit line,http://purl.obolibrary.org/obo/UBERON_0011636,surangular bone,0011636,"...a v-shaped pair of ridges, each carrying three or four smallpores Modified from Ahlberg et al. 2005"
http://purl.obolibrary.org/obo/UBERON_0024907,0024907,hemisphere parts of cerebral cortex,http://purl.obolibrary.org/obo/UBERON_0010314,structure with developmental contribution from neural crest,0010314,
http://purl.obolibrary.org/obo/UBERON_0026153,0026153,obsolete regional part of paraventricular nucleus of hypothalamus,,,,
http://purl.obolibrary.org/obo/UBERON_0026966,0026966,obsolete predominantly gray regional part of inferior frontal gyrus,,,,
http://purl.obolibrary.org/obo/UBERON_0028403,0028403,hadjikhani et al. (1998) Visuotopic area V3A,http://purl.obolibrary.org/obo/UBERON_0026765,Hadjikhani et al. (1998) visuotopic partition scheme region,0026765,
http://purl.obolibrary.org/obo/UBERON_0024037,0024037,vermis of the flocculonodular lobe of the cerebellum,http://purl.obolibrary.org/obo/UBERON_0004720,cerebellar vermis,0004720,
http://purl.obolibrary.org/obo/UBERON_0026006,0026006,dorsal nerve root of lumbar spinal cord,http://purl.obolibrary.org/obo/UBERON_0009631,root of lumbar spinal nerve,0009631,
http://purl.obolibrary.org/obo/UBERON_0025067,0025067,obsolete regional part of corticomedial nuclear complex,,,,
http://purl.obolibrary.org/obo/UBERON_0023462,0023462,superficial feature part of occipital lobe,http://purl.obolibrary.org/obo/UBERON_0010314,structure with developmental contribution from neural crest,0010314,
http://purl.obolibrary.org/obo/UBERON_0024394,0024394,obsolete regional part of Parahippocampal gyrus,,,,
http://purl.obolibrary.org/obo/UBERON_0027007,0027007,obsolete regional part of thoracic spinal cord white matter,,,,
http://purl.obolibrary.org/obo/UBERON_0034688,0034688,spermatic fascia,http://purl.obolibrary.org/obo/UBERON_0008982,fascia,0008982,
http://purl.obolibrary.org/obo/UBERON_0023879,0023879,neural system,http://purl.obolibrary.org/obo/UBERON_0011216,organ system subdivision,0011216,"A set of neural structures that subserve a specific function, e.g., visual system"
http://purl.obolibrary.org/obo/UBERON_0023936,0023936,perirhinal cortex of Burwell et al 1995,http://purl.obolibrary.org/obo/UBERON_0006083,perirhinal cortex,0006083,Rostral portion of the parahippocampal cortex
http://purl.obolibrary.org/obo/UBERON_0027225,0027225,noradrenergic system,http://purl.obolibrary.org/obo/UBERON_0025589,catecholamine system,0025589,"any molecule, protein, cell, tissue or organ that is related to norepinephrine (also known as noradrenaline)."
http://purl.obolibrary.org/obo/UBERON_0029009,0029009,granular cell layer of dorsal cochlear nucleus,http://purl.obolibrary.org/obo/UBERON_0022303,nervous system cell part layer,0022303,
http://purl.obolibrary.org/obo/UBERON_0034717,0034717,integumental taste bud,http://purl.obolibrary.org/obo/UBERON_0001727,taste bud,0001727,"A taste bud that is located external to the digestive tube, on the head or body, as found in species such as goldfish."
http://purl.obolibrary.org/obo/UBERON_0026445,0026445,obsolete predominantly gray ventral regional part of thalamus,,,,
http://purl.obolibrary.org/obo/UBERON_0034724,0034724,esophageal taste bud,http://purl.obolibrary.org/obo/UBERON_0001727,taste bud,0001727,A taste bud that is located in the esophagus.
http://purl.obolibrary.org/obo/UBERON_0034670,0034670,palatal taste bud,http://purl.obolibrary.org/obo/UBERON_0034722,mouth roof taste bud,0034722,"A taste bud that is located on the soft palate, in the roof of the mouth."
http://purl.obolibrary.org/obo/UBERON_0023417,0023417,"lateral amygdaloid nucleus, ventromedial part",http://purl.obolibrary.org/obo/UBERON_0002616,regional part of brain,0002616,
http://purl.obolibrary.org/obo/UBERON_0024110,0024110,basis pontis,http://purl.obolibrary.org/obo/UBERON_0010314,structure with developmental contribution from neural crest,0010314,The basis pontis is the anterior portion of the pons.
http://purl.obolibrary.org/obo/UBERON_0022941,0022941,dorsal nerve root of sacral spinal cord,http://purl.obolibrary.org/obo/UBERON_0009633,root of sacral nerve,0009633,
http://purl.obolibrary.org/obo/UBERON_0034735,0034735,oviduct albumen gland,http://purl.obolibrary.org/obo/UBERON_0005398,female reproductive gland,0005398,"A gland in the glandular region of the oviduct that secretes albumen over the ovum. In birds there are two regions of the oviduct, the first secretes a thin chalaziferous albumen layer, the second secretes a thicker albumen layer."
http://purl.obolibrary.org/obo/UBERON_0022716,0022716,lateral orbital frontal cortex,http://purl.obolibrary.org/obo/UBERON_0010314,structure with developmental contribution from neural crest,0010314,Component of the orbtial frontal cortex The rostral boundary is the first slice where the lateral orbital gyrus is apparent with the frontomarginal sulcus whereas the caudal boundary is the disappearance of the lateral orbital gyrus. The medial and lateral boundaries are the midpoint of the olfactory sulcus and the lateral bank of the lateral orbital sulcus and/or the circular insular sulcus respectively (Christine Fennema-Notestine).
http://purl.obolibrary.org/obo/UBERON_0029215,0029215,obsolete predominantly white dorsal regional part of medial geniculate body,,,,
http://purl.obolibrary.org/obo/UBERON_0027078,0027078,obsolete predominantly gray intralaminal regional part of thalamus,,,,
http://purl.obolibrary.org/obo/UBERON_0025261,0025261,thalamic fiber tract,http://purl.obolibrary.org/obo/UBERON_0011591,tract of diencephalon,0011591,
http://purl.obolibrary.org/obo/UBERON_0023362,0023362,obsolete predominantly gray part of medulla oblongata,,,,
http://purl.obolibrary.org/obo/UBERON_0025078,0025078,obsolete regional part of olfactory cortex,,,,
http://purl.obolibrary.org/obo/UBERON_0028192,0028192,obsolete regional part of spiral organ of Corti,,,,
http://purl.obolibrary.org/obo/UBERON_0029002,0029002,matrix compartment of putamen,http://purl.obolibrary.org/obo/UBERON_0027368,matrix compartment,0027368,
http://purl.obolibrary.org/obo/UBERON_0023901,0023901,piriform cortex layer 1b,http://purl.obolibrary.org/obo/UBERON_0022303,nervous system cell part layer,0022303,Deeper part of the plexiform (layer 1) of piriform cortex characterized by projection of association fibers from other parts of the piriform cortex and other olfactory areas
http://purl.obolibrary.org/obo/UBERON_0028200,0028200,obsolete regional part of fovea,,,,
http://purl.obolibrary.org/obo/UBERON_0028439,0028439,"Ongur, Price, and Ferry (2003) area Iapm",http://purl.obolibrary.org/obo/UBERON_0026777,"Ongur, Price, and Ferry (2003) prefrontal cortical partition scheme region",0026777,
http://purl.obolibrary.org/obo/UBERON_0028924,0028924,paravermic lobule VII,http://purl.obolibrary.org/obo/UBERON_0027285,paravermis lobule area,0027285,
http://purl.obolibrary.org/obo/UBERON_0034672,0034672,lateral eminence of fourth ventricle,http://purl.obolibrary.org/obo/UBERON_0010314,structure with developmental contribution from neural crest,0010314,
